id	site	contest	problem	title	difficulty	tags	includes	logged_at	memo_path	source_path	url	summary
atcoder/abc272/a	atcoder	abc272	a	A - Integer Sum	1			2026-07-08	log/atcoder/abc272/a/memo.md	log/atcoder/abc272/a/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_a	$N$ 個の総和を出力します．
atcoder/abc272/b	atcoder	abc272	b	B - Everyone is Friends	1			2026-07-08	log/atcoder/abc272/b/memo.md	log/atcoder/abc272/b/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_b	全部の $2$ 人組をチェックします．
atcoder/abc272/c	atcoder	abc272	c	C - Max Even	1			2026-07-08	log/atcoder/abc272/c/memo.md	log/atcoder/abc272/c/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_c	偶数 $2$ 個，奇数 $2$ 個それぞれをチェックします．
atcoder/abc272/d	atcoder	abc272	d	D - Root M Leaper	3	BFS		2026-07-08	log/atcoder/abc272/d/memo.md	log/atcoder/abc272/d/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_d	BFS で最短操作回数を求めます．
atcoder/abc272/e	atcoder	abc272	e	E - Add and Mex	3	mex,調和級数	other/mex.hpp	2026-07-08	log/atcoder/abc272/e/memo.md	log/atcoder/abc272/e/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_e	$N$ 個の非負整数の mex は $N$ 以下です．
atcoder/abc272/f	atcoder	abc272	f	F - Two Strings	4		string/suffix_array.hpp,alg/monoid/min.hpp	2026-07-08	log/atcoder/abc272/f/memo.md	log/atcoder/abc272/f/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_f	$SSTT$ の suffix array を作りました．
atcoder/abc272/g	atcoder	abc272	g	G - Yet Another mod M	4	乱択	random/base.hpp,nt/divisors.hpp	2026-07-08	log/atcoder/abc272/g/memo.md	log/atcoder/abc272/g/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_g	最適解をひとつ固定したとき，乱択した $i,j$ がそれに対応する確率は $1/4$ 程度あります．
atcoder/abc272/h	atcoder	abc272	h	Ex - Flipping Coins 2	7	固有関数,rook_polynomial,newton_basis,下降べき	mod/modint.hpp,poly/multipoint.hpp,poly/convolution_all.hpp	2026-07-08	log/atcoder/abc272/h/memo.md	log/atcoder/abc272/h/main.cpp	https://atcoder.jp/contests/abc272/tasks/abc272_h	algorithm lectures で解説しました．
atcoder/abc465/a	atcoder	abc465	a	A - Supermajority	1			2026-07-04	log/atcoder/abc465/a/memo.md	log/atcoder/abc465/a/main.cpp	https://atcoder.jp/contests/abc465/tasks/abc465_a	両辺を $3$ 倍して整数比較のまま誤差なしで処理できます．
atcoder/abc465/b	atcoder	abc465	b	B - Parking 2	1			2026-07-04	log/atcoder/abc465/b/memo.md	log/atcoder/abc465/b/main.cpp	https://atcoder.jp/contests/abc465/tasks/abc465_b	長さ $24$ の配列に料金を書き込み，必要な区間を足します．
